disease,description
Abscess,"An abscess is a collection of pus that has built up within the tissue of the body, usually caused by bacterial infection. Signs and symptoms of abscesses include redness, pain, warmth, and swelling."
Acquired Capillary Haemangioma of Eyelid,No summary available.
Acquired Immuno Deficiency Syndrome,No summary available.
Acute encephalitis syndrome,"Encephalitis is inflammation of the brain. The severity can be variable with symptoms including reduction or alteration in consciousness, aphasia, headache, fever, confusion, a stiff neck, and vomiting."
Adult Inclusion Conjunctivitis,No summary available.
Alcohol Abuse and Alcoholism,No summary available.
Alopecia (hair loss),No summary available.
Alzheimer,Alzheimer's disease (AD) is a neurodegenerative disease that usually starts slowly and progressively worsens. It is the cause of 60–70% of cases of dementia.
Amaurosis Fugax,No summary available.
Amblyopia,"Amblyopia, also called lazy eye, is a disorder of sight in which the brain fails to fully process input from one eye and over time favors the other eye. It results in decreased vision in an eye that typically appears normal in other aspects."
Amoebiasis,"Amoebiasis, or amoebic dysentery, is an infection of the intestines caused by a parasitic amoeba Entamoeba histolytica. Amoebiasis can be present with no, mild, or severe symptoms."
Anaemia,"Anemia (also spelled anaemia in  British English) is a blood disorder in which the blood has a reduced ability to carry oxygen. This can be due to a lower than normal number of red blood cells, a reduction in the amount of hemoglobin available for oxygen transport, or abnormalities in hemoglobin that impair its function."
Aniseikonia,"Aniseikonia is an ocular condition where there is a significant difference in the perceived size of images. It can occur as an overall difference between the two eyes, or as a difference in a particular meridian."
Anisometropia,"Anisometropia is a condition in which a person's eyes have substantially differing refractive power. Generally, a difference in power of one diopter (1D) is the threshold for diagnosis of the condition."
Antepartum hemorrhage (Bleeding in late pregnancy),No summary available.
Anthrax,"Anthrax is an infection caused by the bacterium Bacillus anthracis or Bacillus cereus biovar anthracis. Infection typically occurs by contact with the skin, inhalation, or intestinal absorption."
Anxiety,"Anxiety is an emotion characterised by an unpleasant state of inner turmoil and includes feelings of dread over anticipated events. Anxiety is different from fear in that fear is defined as the emotional response to a present threat, whereas anxiety is the anticipation of a future one."
Appendicitis,"Appendicitis is inflammation of the appendix. Symptoms commonly include right lower abdominal pain, nausea, vomiting, fever and decreased appetite."
Arthritis,Arthritis is a general medical term used to describe a disorder that affects joints. Symptoms generally include joint pain and stiffness.
Asbestos-related diseases,"Asbestos-related diseases are disorders of the lung and pleura caused by the inhalation of asbestos fibres. Asbestos-related diseases include non-malignant disorders such as asbestosis (pulmonary fibrosis due to asbestos), diffuse pleural thickening, pleural plaques, pleural effusion, rounded atelectasis and malignancies such as lung cancer and malignant mesothelioma."
Aseptic meningitis,"Aseptic meningitis is the inflammation of the meninges, a membrane covering the brain and spinal cord, in patients whose cerebral spinal fluid test result is negative with routine bacterial cultures.  Aseptic meningitis is caused by viruses, mycobacteria, spirochetes, fungi, medications, and cancer malignancies."
Asthma,"Asthma is a common long-term inflammatory disease of the airways of the lungs. It is characterized by variable and recurring symptoms, reversible airflow obstruction, and easily triggered bronchospasms."
Astigmatism,Astigmatism is a type of refractive error due to rotational asymmetry in the eye's refractive power.  This results in distorted or blurred vision at any distance.
Atrophy,"Atrophy is the partial or complete wasting away of a part of the body. Causes of atrophy include mutations (which can destroy the gene to build up the organ), poor nourishment, poor circulation, loss of hormonal support, loss of nerve supply to the target organ, excessive amount of apoptosis of cells, and disuse or lack of exercise or disease intrinsic to the tissue itself."
