disease,precaution_1,precaution_2,precaution_3,precaution_4
Abscess,Stay well-hydrated,Maintain good personal hygiene,Take all prescribed medications,Avoid close contact with sick individuals
Acquired Capillary Haemangioma of Eyelid,Practice stress management techniques,Avoid self-medicating,Follow vaccination schedules,Use mosquito repellent when outdoors
Acquired Immuno Deficiency Syndrome,Avoid sharing personal items,Avoid close contact with sick individuals,Stay well-hydrated,Use protective equipment as needed
Acute encephalitis syndrome,Avoid self-medicating,Take all prescribed medications,Avoid sharing personal items,Practice stress management techniques
Adult Inclusion Conjunctivitis,Eat a balanced and nutritious diet,Practice stress management techniques,Avoid close contact with sick individuals,Use protective equipment as needed
Alcohol Abuse and Alcoholism,Take all prescribed medications,Avoid sharing personal items,Use mosquito repellent when outdoors,Keep chronic conditions under control
Alopecia (hair loss),Keep chronic conditions under control,Stay well-hydrated,Avoid self-medicating,Take all prescribed medications
Alzheimer,Use protective equipment as needed,Avoid self-medicating,Avoid allergens and irritants,Stay well-hydrated
Amaurosis Fugax,Avoid allergens and irritants,Practice stress management techniques,Exercise regularly and moderately,Follow vaccination schedules
Amblyopia,Stay well-hydrated,Follow vaccination schedules,Avoid close contact with sick individuals,Use protective equipment as needed
Amoebiasis,Avoid sharing personal items,Exercise regularly and moderately,Keep chronic conditions under control,Use protective equipment as needed
Anaemia,Exercise regularly and moderately,Maintain good personal hygiene,Avoid sharing personal items,Take all prescribed medications
Aniseikonia,Eat a balanced and nutritious diet,Avoid allergens and irritants,Exercise regularly and moderately,Stay well-hydrated
Anisometropia,Follow vaccination schedules,Keep chronic conditions under control,Use mosquito repellent when outdoors,Avoid close contact with sick individuals
Antepartum hemorrhage (Bleeding in late pregnancy),Stay well-hydrated,Avoid self-medicating,Exercise regularly and moderately,Avoid allergens and irritants
Anthrax,Use mosquito repellent when outdoors,Avoid close contact with sick individuals,Exercise regularly and moderately,Keep chronic conditions under control
Anxiety,Follow vaccination schedules,Use mosquito repellent when outdoors,Use protective equipment as needed,Avoid allergens and irritants
Appendicitis,Follow vaccination schedules,Use protective equipment as needed,Avoid sharing personal items,Stay well-hydrated
Arthritis,Avoid sharing personal items,Use protective equipment as needed,Avoid close contact with sick individuals,Stay well-hydrated
Asbestos-related diseases,Avoid sharing personal items,Take all prescribed medications,Keep chronic conditions under control,Use mosquito repellent when outdoors
Aseptic meningitis,Practice stress management techniques,Use protective equipment as needed,Avoid allergens and irritants,Avoid close contact with sick individuals
Asthma,Use protective equipment as needed,Take all prescribed medications,Avoid close contact with sick individuals,Keep chronic conditions under control
Astigmatism,Avoid allergens and irritants,Exercise regularly and moderately,Avoid self-medicating,Use mosquito repellent when outdoors
Atrophy,Practice stress management techniques,Take all prescribed medications,Avoid sharing personal items,Avoid self-medicating
Autism,Eat a balanced and nutritious diet,Follow vaccination schedules,Avoid allergens and irritants,Avoid self-medicating
Bad Breath (Halitosis),Practice stress management techniques,Use mosquito repellent when outdoors,Exercise regularly and moderately,Follow vaccination schedules
Bell's Palsy,Practice stress management techniques,Follow vaccination schedules,Take all prescribed medications,Avoid self-medicating
Beriberi,Exercise regularly and moderately,Use protective equipment as needed,Avoid self-medicating,Keep chronic conditions under control
Black Death,Avoid allergens and irritants,Practice stress management techniques,Avoid self-medicating,Follow vaccination schedules
